question,answer
"What are also associated with viral infections and pneumonia development, which may worsen inflammation in the lower airway?", the expression of vasodilating factors and fluid homeostatic factors such as angiopoietin-like 4 (ANGPTL4) and bactericidal/permeabilityincreasing fold-containing family member A1 (BPIFA1)
What is another area of interest?,the relationship between asthma and COPD exacerbations and their association with the airway microbiome.
What is usually linked with the development of chronic airway inflammatory diseases?,specific bacterial species in the microbiome which may thrive in the inflamed airway environment 
What follows  in the event of a viral infection such as RV infection?," the effect induced by the virus may destabilize the equilibrium of the microbiome present (Molyneaux et al., 2013; Kloepfer et al., 2014; Kloepfer et al., 2017; Jubinville et al., 2018; van Rijn et al., 2019) . In addition, viral infection may disrupt biofilm colonies in the upper airway (e.g., Streptococcus pneumoniae) microbiome to be release into the lower airway and worsening the inflammation"
What does the viral infection alter?,the nutrient profile in the airway through release of previously inaccessible nutrients that will alter bacterial growth
What is  the destabilization is further compounded by?," impaired bacterial immune response, either from direct viral influences, or use of corticosteroids to suppress the exacerbation symptoms"
What does all this gradually lead to?,"more far reaching effect when normal flora is replaced with opportunistic pathogens, altering the inflammatory profiles "
Why do these changes may  result in more severe and frequent acute exacerbations ?,due to the interplay between virus and pathogenic bacteria in exacerbating chronic airway inflammatory diseases 
How effective are microbiome based  trial therapies?, have shown efficacy in the treatments of irritable bowel syndrome by restoring the intestinal microbiome (
What can viral infections cause?,"the disruption of mucociliary function, an important component of the epithelial barrier. "
Which is the primary contact/infection site of most respiratory viruses?,The upper airway epithelium
"What does the destruction of epithelial barrier, mucociliary function and cell death of the epithelial cells do?",serves to increase contact between environmental triggers with the lower airway and resident immune cells.
What are viral infections are usually accompanied with?,oxidative stress which will further increase the local inflammation in the airway. 
What is the dysregulation of inflammation can be further compounded by?,modulation of miRNAs and epigenetic modification such as DNA methylation and histone modifications that promote dysregulation in inflammation
What does  the change in the local airway environment and inflammation promote?,growth of pathogenic bacteria that may replace the airway microbiome. 
What does the the inflammatory environment dispersal of upper airway commensals into the lower airway cause?,"inflammation and alteration of the lower airway environment, resulting in prolong exacerbation episodes following viral infection. "
Which are the most commonly  studied viruses in chronic airway inflammatory diseases?,"RV, RSV, and IFV"
What do the infections such as RSV are shown to do?, to directly destroy the cilia of the ciliated cells and almost all respiratory viruses infect the ciliated cells
What does mucus overproduction do?," disrupt the equilibrium of the mucociliary function following viral infection, resulting in symptoms of acute exacerbation"
What does the disruption of the ciliary movement during viral infection may cause?,MicroRNAs (miRNAs)
What are MicroRNAs(miRNA)?,"short non-coding RNAs involved in post-transcriptional modulation of biological processes, and implicated in a number of diseases "
What are  miRNAs found to be induced by?, viral infections and may play a role in the modulation of antiviral responses and inflammation 
What  were linked to the exacerbation of the airway inflammation disease?,circulating miRNA changes
Where might such miRNA changes have originated from?,"from the infected epithelium and responding immune cells, which may serve to further dysregulate airway inflammation leading to exacerbations."
What are both IFV and RSV infections shown to do?," to increase miR-21 and augmented inflammation in experimental murine asthma models, which is reversed with a combination treatment of anti-miR-21 and corticosteroids"
What are IFV infection shown to do?," increase miR-125a and b, and miR-132 in COPD epithelium which inhibits A20 and MAVS; and p300 and IRF3, respectively, resulting in increased susceptibility to viral infections "
What happens in in asthmatic epithelium in IFV infection?,"miR-22 was shown to be suppressed in asthmatic epithelium in IFV infection which lead to aberrant epithelial response, contributing to exacerbations "
What do non-coding RNAs present as?,as targets to modulate viral induced airway changes as a means of managing exacerbation of chronic airway inflammatory diseases.
"What mechanisms, other than miRNA modulation play a role?",epigenetic modification such as DNA methylation 
What have  recent epigenetic studies indicated?,"the association of epigenetic modification and chronic airway inflammatory diseases, and that the nasal methylome was shown to be a sensitive marker for airway inflammatory changes (Cardenas et al., 2019; Gomez, 2019) ."
 What have these studies also shown?," viral infections such as RV and RSV alters DNA methylation and histone modifications in the airway epithelium which may alter inflammatory responses, driving chronic airway inflammatory diseases and exacerbations"
What has Spalluto et.al. have shown?,that antiviral factors such as IFNγ epigenetically modifies the viral resistance of epithelial cells.
 What infections such as RV and RSV that weakly induce antiviral responses may result in?, an altered inflammatory state contributing to further viral persistence and exacerbation of chronic airway inflammatory diseases 
What can viral infection result in?," enhanced production of reactive oxygen species (ROS), oxidative stress and mitochondrial dysfunction in the airway epithelium "
What sustains the inflammation  in the airway?,state of constant oxidative stress 
"What may viral infections of the respiratory epithelium by viruses such as IFV, RV, RSV and HSV do?",may trigger the further production of ROS as an antiviral mechanism
What can happen  in response to the infection such as neutrophils?, infiltrating cells in response to the infection such as neutrophils will also trigger respiratory burst as a means of increasing the ROS in the infected region. The increased ROS and oxidative stress in the local environment may serve as a trigger to promote inflammation thereby aggravating the inflammation in the airway 
"In addition to worsening disease symptoms, what do viral-induced exacerbations do?", also may alter the management of the disease or confer resistance toward treatments that worked before. 
What may studies in natural exacerbations and in viral-challenge models using RNA-sequencing (RNA-seq) or single cell RNA-seq on a range of time-points  provide?,important information regarding viral pathogenesis and changes induced within the airway of chronic airway inflammatory disease patients to identify novel targets and pathway for improved management of the disease.
What analysis functions may be useful?," epithelial cell models such as the air-liquid interface, in vitro airway epithelial model that has been adapted to studying viral infection and the changes it induced in the airway "
For what  purpose animal based models aare developed for?,to identify systemic mechanisms of acute exacerbation
What can be used unravel the immune profile of a viral infection in healthy and diseased condition?, the humanized mouse model that possess human immune cells 
For what purpose controlled in vivo human infections can be performed for mild viruses?,the best mode of verification of the associations of the virus with the proposed mechanism of viral induced acute exacerbations 
Why may the  mechanisms of exacerbation vary considerably?, due to the complex interactions between the host and the exacerbation agents
What clinical condition is caused by Hantaan virus?,hemorrhagic fever with renal syndrome
What is the structure of Hantaan virus?,"enveloped, negative-sense RNA virus"
What the animal vector reservoir for Hantaan virus?,rodents
What diagnostic test is correlated with the severity of HFRS?,plasma viral load
How is Interferon used in practice?,an antiviral medicine
What genotypes are associated with the severity of HFRS?,rs12252 C allele and CC genotype
Which IFITM proteins have been shown to possess antiviral activity?,"IFITM1, 2, and 3"
What is the hypothesized mechanism by which IFITMs work?,restrict viral infection at the stage of cellular entry
What genotype causes truncation of the IFITM3 protein?,rs12252 C allele
What can cause a slowing growth in daily reported deaths?,significant impactof interventions implemented several weeks earlier.
When did Italy go into Iockdown?,11th March
Approximately how many deaths have been averted in Western Europe with current non-pharmaceutical interventions remaining in place until the end of March?,"59,000 deaths"
What are some non-pharmaceutical interventions?,"case isolation, the closure of schools anduniversities, banning of mass gatherings and/or public events, and most recently, widescale socialdistancing including local and national Iockdowns"
Type of model used to infer the impact non-pharmaceutical interventions?,semi-mechanistic Bayesian hierarchical model
How can a semi-mechanistic Bayesian hierarchical model estimate changes to the reproductive number?,"calculating backwards from the deaths observed over time to estimate transmission thatoccurred several weeks prior, allowing for the time lag between infection and death."
What is a key assumption of a semi-mechanistic Bayesian hierarchical model used for coronavirus?,each intervention has the same effect on thereproduction number across countries and over time
"What is the time lag between when transmission changes occur and when their impact can be
observed in trends in mortality?",2-3 weeks
What is the key aim of non-pharmaceutical interventions?,reduce the effective reproduction number
What happens if the reproduction number is greater then 1?,infections will increase (dependent on how much greater than 1 the reproduction number is)
When did China introduce strict movement restrictions and other measures including case isolation and quarantine?,23rd January
What was the result of China's interventions introduced in January?,downward trend in the number ofconfirmed new cases during February
What are examples of social distancing?,banning large gatherings and advising individuals not to socialize outsidetheir households
What was the estimated effect on China's reproduction number in March based on the intervention introduced in January?,fromaround 2-4 during the uncontrolled epidemic down to below 1
Why is it challenging to estimate the reproduction number?,"high proportion ofinfections not detected by health systems”7 and regular changes in testing policies,"
What is an alternative way to estimate the course of an epidemic?,back-calculate infections fromobserved deaths
What is the estimated attack rate in Italy?,9.8% [3.2%-25%] of the population
As of the end of March what is the proportion of Spain's population to be infected?,15.0% (7.0 [18-19] million people)
Which Western European country is estimated to have the lowest attack rate?,Germany
What is Austria's estimated mean percentage [95% credible interval] of total population infected as of 28th March?,1.1% [0.36%-3.1%]
What is Belgium's estimated mean percentage [95% credible interval] of total population infected as of 28th March?,3.7% [1.3%-9.7%]
What is Denmark's estimated mean percentage [95% credible interval] of total population infected as of 28th March?,1.1% [0.40%-3.1%]
What is France's estimated mean percentage [95% credible interval] of total population infected as of 28th March?,3.0% [1.1%-7.4%]
What is Germany's estimated mean percentage [95% credible interval] of total population infected as of 28th March?,0.72% [0.28%-1.8%]
What is Italy's estimated mean percentage [95% credible interval] of total population infected as of 28th March?,9.8% [3.2%-26%]
What is Norway's estimated mean percentage [95% credible interval] of total population infected as of 28th March?,0.41% [0.09%-1.2%]
What is Spain's estimated mean percentage [95% credible interval] of total population infected as of 28th March?,15% [3.7%-41%]
What is Spain's estimated mean percentage [95% credible interval] of total population infected as of 28th March?,3.1% [0.85%-8.4%]
What is Switzerland's estimated mean percentage [95% credible interval] of total population infected as of 28th March?,3.2% [1.3%-7.6%]
What is United Kingdom's estimated mean percentage [95% credible interval] of total population infected as of 28th March?,2.7% [1.2%-5.4%]
What is the estimated averaged initial reproduction number [95% credible interval] for Western Europe as of 28th March?,3.87 [3.01-4.66]
Why is there high uncertainty in estimating the impact of interventions against the coronavirus?,too early to detect substantialintervention impact in many countries at earlier stages of their epidemic
Why is it statistically impossible to determine which individual intervention had the greatest effect on reducing the coronavirus reproduction number?,close spacing of interventions in time
What is estimated to drop immediately after an introduction of a non-pharmaceutical intervention?, number of daily infections
One way to understand the impact of interventions?,fit a counterfactual model without the interventionsand compare this to the actual model
What is a lockdown?,banned gatherings of more than 2 people
Why is it hard to know the true incidence of infections number?,underreporting as well as systematic and country-specific changes in testing
What is an example of a case-based measure against coronavirus?,strong recommendations or laws to the generalpublic and primary care about self—isolation when showing COVID-19-like symptoms
What is an example of containment phase intervention?,isolation if travelling back from an epidemic country
What does a public events ban intervention mean?,banning all public events of more than 100 participants
An example of social distancing,work from home wherever possible
Example of social distancing,reducing use ofpublictransport
What is a lockdown?,regulations/legislations regarding strict face-to-face social interaction
What is an infection-to-onset-distribution?,time from infection to the onsetof symptoms
What is an onset-to-death distribution?,time from the onset of symptoms to death
What is the population-averaged infection fatality ratio?,adjusted for the age structure and contact patterns ofeach country
What is the time-varying reproduction number a function of?, initial reproduction number before interventions and the effect sizes frominterventions
What is an incubation period?,infection to onset of symptoms
What is an incubation period?,infection-to-onset
What are the descriptive statistics for the onset-to-death for coronavirus?,Gamma distributed with a mean of 18.8 days and acoefficient of va riation 0.45
What are the descriptive statistics for the incubation period for coronavirus?,distribution is Gamma distributed with mean 5.1 days and coefficient of variation0.86
What is the estimated infection-to-death distribution's mean for coronavirus?,23.9 days
What is a well known approach to model the true number of infected individuals?,discrete renewal process
What is a way to measure virus transmission?,reproductive number
What term describes when a majority of the population has built an immunity to a virus?,herd immunity
What is the estimated number of people in Italy infected with coronavirus by March 28th?,"cumulatively, 5.9 [1.9-15.2] million people have beeninfected as of March 28th"
In 2009 what was the reported H1N1 vaccination rate in China?,10.8%
What is the highest alert level given by the World Health Organization to a pandemic?,phase 6
What does it mean for a pandemic to have a WHO alert level of 6?,spread in more than two continents
What was the estimated economic impact in the U.S. from the 2009 SARS pandemic?,estimated at $30-$100 billion
How is 2019-nCOV transmitted?,"2019-nCoV was transmitted through respiratory tract and then induced pneumonia,"
What are ways in  which 2019-nCOV is transmitted?,"We found the presence of 2019-nCoV in anal swabs and blood as well, and more anal swab positives than oral swab positives in a later stage of infection, suggesting shedding and thereby transmitted through oral–fecal route."
"Is oral swab for detecting 2019-nCOV infection, sufficient?",the current strategy for the detection of viral RNA in oral swabs used for 2019-nCoV diagnosis is not perfect. The virus may be present in anal swabs or blood of patients when oral swabs detection negative.
"Is oral swab for detecting 2019-nCOV infection, sufficient?"," patients infected with 2019-nCoV may harbour the virus in the intestine at the early or late stage of disease. It is also worth to note none of the patients with viremia blood had positive swabs. These patients would likely be considered as 2019-nCoV negative through routine surveillance, and thus pose a threat to other people."
What other tests should be considered for 2019-nCOV epidemiology?,serology should be considered for 2019-nCoV epidemiology.
What tests should  be done before a 2019-nCOV infected patient is discharged?,"we cannot discharge a patient purely based on oral swabs negative, who may still shed the virus by oral-fecal route. Above all, we strongly suggest using viral IgM and IgG serological test to confirm an infection, considering the unreliable results from oral swabs detection"
What is a Hantavirus?,zoonotic diseases
What plays a role in innate immunity to Hantavirus infection?,long noncoding RNAs (lncRNAs)
What evidence suggests that RIG-I and DDX60 collaborate to exert antiviral effects?,colocalized after HTNV infection
What was the major contribution of this study?,the first study to describe the role of NEAT1 in HTNV infection
What symptoms were reported?,"Of the remaining 29, 20 reported fever, 14 reported cough and eight reported weakness. Additional symptoms reported included headaches (6 cases), sore throat (2), rhinorrhoea (2), shortness of breath (2), myalgia (1), diarrhoea (1) and nausea (1)"
What did the collected data include?,"demographics, history of recent travel to affected areas, close contact with a probable or confirmed COVID-19 case, underlying conditions, signs and symptoms of disease at onset, type of specimens from which the virus was detected, and clinical outcome. "
When was COVID  surveillance implemented in European region?,27 January 2020
"As of 21 February, how many cases were reported?",47
Where were the cases that were studied?,"21 were linked to two clusters in Germany and France, 14 were infected in China"
What was the median case age?,42 years
How many were male?, 25 
How many cases were there on 5 March?,"4,250 "
When did the Chinese authorities share the sequence of a novel coronavirus ?,12 January 2020
What is the name of the disease caused buy SARS-COV-2?,coronavirus disease 2019 (COVID -19)
What country does this study exclude?,United Kingdom (UK)
What does the study include?,a comparison between cases detected among travellers from China and cases whose infection was acquired due to subsequent local transmission.
What did the ECDC and WHO regional office ask the countries?, to complete a WHO standard COVID-19 case report form for all confirmed and probable cases according to WHO criteria
What was the overall aim of the surveillance?, to support the global strategy of containment of COVID-19 with rapid identification and follow-up of cases linked to affected countries in order to minimise onward transmission.
What were the surveillance objectives?,to: describe the key epidemiological and clinical characteristics of COVID-19 cases detected in Europe; inform country preparedness; and improve further case detection and management. 
What is the adopted WHO case definition?,"a confirmed case was a person with laboratory confirmation of SARS-CoV-2 infection (ECDC recommended two separate SARS-CoV-2 RT-PCR tests), irrespective of clinical signs and symptoms, whereas a probable case was a suspect case for whom testing for SARS-CoV-2 was inconclusive or positive using a pan-coronavirus assay"
When was the first reported death in France?,15 February
What is the presumed incubation period?, up to 14 days [
What were the places of infection?," 35 cases (missing for three cases), of whom 14 were infected in China (Hubei province: 10 cases; Shandong province: one case; province not reported for three cases). The remaining 21 cases were infected in Europe. "
What places were linked to these?,"14 were linked to a cluster in Bavaria, Germany, and seven to a cluster in Haute-Savoie, France "
How many cases were hospitalised?,All but two cases were hospitalised (35 of 37 where information on hospitalisation was reported)
Why were they hospitalised?, it is likely that most were hospitalised to isolate the person rather than because of severe disease. 
What was time from onset to hospitalisation?,ranged between 0 and 10 days with a mean of 3.7 days 
What was the duration of hospitalisation?,"The mean number of days to hospitalisation was 2.5 days for cases imported from China, but 4.6 days for those infected in Europe."
Why was this?,"This was mostly a result of delays in identifying the index cases of the two clusters in France and Germany. In the German cluster, for example, the first three cases detected locally were hospitalised in a mean of 5.7 days, whereas the following six took only a mean of 2 days to be hospitalised."
"How many cases reported symptoms at this point?
", 31 cases
How many cases were asymptomatic?,Two cases 
What were the asymptomatic cases tested as?,as part of screening following repatriation and during contact tracing respectively. 
 For how many cases Fever reported as the sole symptom?, nine cases
In how many cases the symptoms at diagnosis were consistent with the case definition for acute respiratory infection?,In 16 of 29 symptomatic cases
How many cases had data on preexisting conditions?,seven cases
How many cases had no pre-existing conditions?,five
What other data on pre-existing conditions were reported?,one was reported to be obese and one had pre-existing cardiac disease. No data on clinical signs e.g. dyspnea etc. were reported for any of the 38 cases.
How many reported viral pneumonia?,two reported in Italy and two reported in France
What was the clinical evolution of the hospitalised cases?,"All hospitalised cases had a benign clinical evolution except four,"
What happened to three cases who were aged 65 years or over?,were admitted to intensive care and required respiratory support and one French case died.
What happened to the case who died?,was hospitalised for 21 days and required intensive care and mechanical ventilation for 19 days
What was the duration of hospitalisation reported for 16 cases ?,a median of 13 days (range: 8-23 days)
How were the assays confirmed?,according to specific assays targeting at least two separate genes (envelope (E) gene as a screening test and RNA-dependent RNA polymerase (RdRp) gene or nucleoprotein (N) gene for confirmation) 
What were the specimen types for 21 cases?,"15 had positive nasopharyngeal swabs, nine had positive throat swabs, three cases had positive sputum, two had a positive nasal swab, one case had a positive nasopharyngeal aspirate and one a positive endotracheal aspirate."
"As of 5 March 2020, what  are the cases in the WHO European region?","there are 4,250 cases including 113 deaths reported among 38 countries"
What were the two contexts for transmission?,sporadic cases among travellers from China (14 cases) and cases who acquired infection due to subsequent local transmission in Europe (21 cases).
What  does the analysis show on the difference between locally acquired cases vs imported cases?,that the time from symptom onset to hospitalisation/case isolation was about 3 days longer for locally acquired cases than for imported cases.
What is required for locally acquired cases?,"significant resources for contact tracing and quarantine, and countries should be prepared to allocate considerable public health resources during the containment phase, should local clusters emerge in their population. In addition, prompt sharing of information on cases and contacts through international notification systems such as the International Health Regulations (IHR) mechanism and the European Commission's European Early Warning and Response System is essential to contain international spread of infection."
What was common to all imported cases?,had a history of travel to China
What testing and detection are needed?,"Testing of suspected cases based on geographical risk of importation needs to be complemented with additional approaches to ensure early detection of local circulation of COVID-19, including through testing of severe acute respiratory infections in hospitals irrespectively of travel history as recommended in the WHO case definition updated on 27 February 2020 "
What did the finding prompt ECDC to do?,include fever among several clinical signs or symptoms indicative for the suspected case definition.
Why is understanding the infection-severity  critical ?,to help plan for the impact on the healthcare system and the wider population.
Why are serological tests vital?,to understand the proportion of cases who are asymptomatic.
How can hospital based surveillance help?,help estimate the incidence of severe cases and identify risk factors for severity and death
How can present systems of surveillance be used?,"Established hospital surveillance systems that are in place for influenza and other diseases in Europe may be expanded for this purpose. In addition, a number of countries in Europe are adapting and, in some cases, already using existing sentinel primary care based surveillance systems for influenza to detect community transmission of SARS-CoV-2"
How will  this approach used?,"will be used globally to help identify evidence of widespread community transmission and, should the virus spread and containment no longer be deemed feasible, to monitor intensity of disease transmission, trends and its geographical spread."
Why is additional research needed?," to complement surveillance data to build knowledge on the infectious period, modes of transmission, basic and effective reproduction numbers, and effectiveness of prevention and case management options also in settings outside of China."
What growing dysjunction has been witnessed?,"a 'Valley of Death' 1,2 no less, between broadening strides in fundamental biomedical research and their incommensurate reach into the clinic. "
What is aiming to incorporate pathways to translation at the earliest stages?," recent changes in the structure of government funding, 2 new public and private joint ventures and specialist undergraduate and postgraduate courses"
How much  have  the number of biomedical research publications targeting 'translational' concepts has increased ?,"exponentially, up 1800%"
What ways to  solve the issues are outlined?,by creatively leveraging the so-called 'strengths' of viruses. Viral RNA polymerisation and reverse transcription enable resistance to treatment by conferring extraordinary genetic diversity. 
How do these exact processes ultimately restrict viral infectivity?, by strongly limiting virus genome sizes and their incorporation of new information. 
What does the author coin this evolutionary dilemma as?,'information economy paradox'.
How do many viruses resolve this ?,"by manipulating multifunctional or multitasking host cell proteins (MMHPs), thereby maximising host subversion and viral infectivity at minimal informational cost."
"How may this ""Achilles Heel"" be safely targeted?", via host-oriented therapies to impose devastating informational and fitness barriers on escape mutant selection.
Why  may MMHP-targeting therapies exhibit both robust and broadspectrum antiviral efficacy?,"since MMHPs are often conserved targets within and between virus families,"
What will  achieving this through drug repurposing do?," break the vicious cycle of escalating therapeutic development costs and trivial escape mutant selection, both quickly and in multiple places. "
What are also discussed by the author?," alternative posttranslational and RNA-based antiviral approaches, designer vaccines, immunotherapy and the emerging field of neo-virology."
What does  the author anticipate international efforts will do?," will enable the tapping of useful new biological functions and processes, methods for controlling infection, and the deployment of symbiotic or subclinical viruses in new therapies and biotechnologies that are so crucially needed."
What do pathogens do upon infection?,stimulate expression of numerous host inflammatory factors that support recruitment and activation of immune cells. 
What is the flip side ?,this same process also causes immunopathology when prolonged or deregulated.
What do RBPs do?,post-transcriptionally control expression of crucial inflammatory factors in various tissues and their potential therapeutic applications
What is included in RBPs?,tristetraprolin and AUF1
"What  do  tristetraprolin and AUF1, do?",promote degradation of AU-rich element (ARE)-containing mRNA
What do RBPs include?,members of the Roquin and Regnase families
What domembers of the Roquin and Regnase families do?,promote or effect degradation of mRNAs harbouring stem-loop structures
What do the RBPs include?,RNA methylation machinery
What is the increasingly apparent role of RNA methylation machinery ?,in controlling inflammatory mRNA stability.
Where do these activities take place?, in various subcellular compartments 
What happens to these activities during infection?,are differentially regulated
" In this way, what do the mRNA-destabilising RBPs constitute ?",a 'brake' on the immune system
What can be  done with the  'brake' on the immune system?,may ultimately be toggled therapeutically
What does the author anticipate that continued efforts will lead to?,Another mRNA under post-transcriptional regulation by Regnase-1 and Roquin
What is another mRNA under post-transcriptional regulation by Regnase-1 and Roquin?, Furin
What does Furin encode?,a conserved proprotein convertase crucial in human health and disease.
"What are Furin, along with other PCSK family members implicated in?"," in immune regulation, cancer and the entry, maturation or release of a broad array of evolutionarily diverse viruses including human papillomavirus (HPV), influenza (IAV), Ebola (EboV), dengue (DenV) and human immunodeficiency virus (HIV)"
What do Braun and Sauter review?," the roles of furin in these processes, as well as the history and future of furin-targeting therapeutics."
What dis their recent work reveal?,"how two IFN-cinducible factors exhibit broad-spectrum inhibition of IAV, measles (MV), zika (ZikV) and HIV by suppressing furin activity."
"What has the increasing abundance of affordable, sensitive, high-throughput genome sequencing technologies  led to?", a recent boom in metagenomics and the cataloguing of the microbiome of our world.
What was this system used for the first time for?, to directly sequence an RNA virus genome (IAV)
What have decades of basic immunology research  provided ?,a near-complete picture of the main armaments in the human antiviral arsenal. 
What has this focus on mammalian defences and pathologies sidelined?,examination of the types and roles of viruses and antiviral defences that exist throughout our biosphere.
What has CRISPR/Cas antiviral immune system of prokaryotes been repurposed as?,as a revolutionary gene-editing biotechnology in plants and animals.
What is another  case in point?,the ancient lineage of nucleocytosolic large DNA viruses (NCLDVs)
"What are the ancient lineage of NCLDVs?
",emerging human pathogens that possess enormous genomes of up to several megabases in size encoding hundreds of proteins with unique and unknown functions.
What do the recent efforts indicate regarding hundreds of human and avian infectious viruses?, the true number may be in the millions and many harbour zoonotic potential. 
What is neo-virology?, an emerging field engaged in cataloguing and characterising this biodiversity through a global consortium.
What is predicted these efforts on neo-virology will unlock?,"a vast wealth of currently unexplored biodiversity, leading to biotechnologies and treatments that leverage the host-virus interactions developed throughout evolution."
What are the two of the four pillars of the National Innovation and Science Agenda?,Supporting industry-academia collaboration and nurturing talent and skills in the Indo-Pacific region
What do Australia's Medical Research and Innovation Priorities include?,"antimicrobial resistance, global health and health security, drug repurposing and translational research infrastructure,"
What is essential for these priority outcomes?,Establishing durable international relationships that integrate diverse expertise
What is the Japan AMED tasked with?,translating the biomedical research output of that country.
What serious question was raised?,as to whether or not our seasonal or pandemic flu might have another reservoir host.
What is a recent discovery?,Bat is believed to harbor many more viruses than we ever thought as a reservoir host or even a susceptible host 
Which bat virus have been found to be linked with diseases?,"potential human infecting HKU-1, 4, 5 and 9 [17, 18] . Recent MERS-CoV infection is another example for severe disease caused by used-to-be-less pathogenic coronaviruses. Shi and colleagues [19] by using NGS have discovered many unknown animal viruses from bat, especially some important paramyxoviruses and reoviruses. Filovirus has also been identified in bat with potential severe outcomes. Lyssaviruses (with many genotypes, including rabies virus) in the Rhabdoviridae family have been linked with severe fatal human cases, even in the developed countries, including Australia, with the bites of bats in the city [20, 21] ."
What assay played an important role?,reverse transcription polymerase chain reaction (RT-PCR)
What was the death toll in the 1918-1919 Spanish Influenza epidemic?,50 million deaths worldwide
How many people were infected during the 1918 Spanish Influenza epidemic?,An estimated one third of the world’s population (orz500 million persons) were infected and had clinical-ly apparent illnesses
What was the case fatality rate in the 1918 Spanish Influenza epidemic?,"Case-fatality rates were >2.5%, compared to <0.1% in otherinﬂuenza pandemics"
What was the death toll in the 1918-1919 Spanish Influenza epidemic?,Total deaths were estimated atz50 million (577) and were arguably as high as 100 mil-lion 
Are the modern day Influenza viruses related to the 1918 Spanish Influenza virus?," All inﬂuenza A pandemics since that time, andindeed almost all cases of inﬂuenza A worldwide (except-ing human infections from avian Viruses such as H5N1 andH7N7), have been caused by descendants of the 1918Virus, including “drifted” H1N1 Viruses and reassortedH2N2 and H3N2 Viruses."
Why is the Spanish Influenza virus the Mother of the modern influenza viruses?,"The latter are composed of keygenes from the 1918 Virus, updated by subsequently-incor—porated avian inﬂuenza genes that code for novel surface *Armed Forces Institute of Pathology, Rockville, Maryland, USA;and TNational Institutes of Health, Bethesda, Maryland, USAproteins, making the 1918 Virus indeed the “mother” of allpandemics."
When was it  determined that the 1918  pandemic was caused by the H1N1 Influenza virus?,"That question did not begin to be resolved until the 1930s,when closely related inﬂuenza Viruses (now known to beH1N1 Viruses) were isolated, ﬁrst from pigs and shortlythereafter from humans. Seroepidemiologic studies soonlinked both of these viruses to the 1918 pandemic"
Did the Spanish Influenza or Swine flu or the H1N1 virus disappear in humans for some time?," descendants of the 1918Virus still persists enzootically in pigs. They probably alsocirculated continuously in humans, undergoing gradualantigenic drift and causing annual epidemics, until the1950s. With the appearance of a new H2N2 pandemicstrain in 1957 (“Asian ﬂu”), the direct H1N1 Viral descen-dants 0f the 1918 pandemic strain disappeared from humancirculation entirely, although the related lineage persistedenzootically in pigs."
When did the Swine Flu (Spanish Influenza) virus reappear in humans?," But in 1977, human H1N1 Virusessuddenly “reemerged” from a laboratory freezer (9). Theycontinue to circulate endemically and epidemically."
What descendant  lineages of the swine flu (Spanish Influenza) virus were identified in 2006?," 2 major descendant lineages of the 1918H1N1 Virus, as well as 2 additional reassortant lineages,persist naturally: a human epidemic/endemic H1N1 line-age, a porcine enzootic H1N1 lineage (so-called classicswine ﬂu), and the reassorted human H3N2 Virus lineage,which like the human H1N1 Virus, has led to a porcineH3N2 lineage."
Are the modern descendant influenza viruses as dangerous as the 1918 parent swine flu (Spanish Influenza) H1N1 virus?,"None of these Viral descendants, however,approaches the pathogenicity of the 1918 parent Virus."
How dangerous are the modern H1N1 (swine flu) and the H3N2 (Influenza A) viruses compared  to the 1918 H1N1 (swine flu Spanish Influenza)  viruses?,"the human H1N1 and H3N2 lin-eages have both been associated with substantially lowerrates ofillness and death than the virus of 1918. In fact, cur-rent H1N1 death rates are even lower than those for H3N2lineage strains (prevalent from 1968 until the present)."
"Are the descendant H1N1 strains of the 1918 H1N1 swine flu (Spanish Influenza) virus, still prevalent?","H1N1 Viruses descended from the 1918 strain, as well as H3N2 Viruses, have now been cocirculating worldwide for29 years and show little evidence of imminent extinction."
Is the origin and epidemiology of the 1918 swine flu (Spanish Influenza) known?,"ongoing studies to map Virulencefactors are yielding interesting results. The 1918 sequencedata, however, leave unanswered questions about the ori-gin of the Virus (19) and about the epidemiology of thepandemic."
What is the geographical origin of the H1N1 swine flu ?,"Historical and epidemiologic data are inade-quate to identify the geographic origin of the Virus (21),and recent phylogenetic analysis of the 1918 Viral genomedoes not place the Virus in any geographic context"
Is the geographical origin of the 1918 H1N1 swine flu known?,"Confounding deﬁnite assignment of a geographicpoint of origin, the 1918 pandemic spread more or lesssimultaneously in 3 distinct waves during an z12-monthperiod in 191871919, in Europe, Asia, and North America(the ﬁrst wave was best described in the United States inMarch 1918)"
What is an unique feature of the 1918 swine flu?,the simultaneous (or nearly simultaneous) infectionof humans and swin
What season or  time of the year do the new strains of influenza emerge?,"Historical records since the 16th century suggest thatnew inﬂuenza pandemics may appear at any time of year,not necessarily in the familiar annual winter patterns ofinterpandemic years,"
"Once appeared, when do the influenza like diseases occur in subsequent years?","confronted by the selection pressures of population immu-nity, these pandemic Viruses begin to drift genetically andeventually settle into a pattern of annual epidemic recur-rences caused by the drifted Virus variants."
When did the first wave of the H1N1 swine flu (Spanish Influenza) occur?," a ﬁrst or spring wavebegan in March 1918 and spread unevenly through theUnited States, Europe, and possibly Asia over the next 6months"
What was the death rate in the first wave of the 1918 swine flu pandemic?," Illness rates were high, but death ratesin most locales were not appreciably above normal."
