question,answer,answer_html,link,name,source,category,country,region,city,lang,last_update
what is the coronavirus from,"It was first found in Wuhan City, Hubei Province, China. The first cases are linked to a live animal market but now COVID-19 is able to spread person-to-person.",,,,,,,,,,
can coronavirus survive heat who,"We do not know. Some viruses, like the common cold or flu, spread more during the cold weather months but people still become sick in warmer months with them. There is still a lot to learn about how weather and temperature impact spread of COVID-19.",,,,,,,,,,
Where can someone get tested?,"If you have the symptoms of COVID-19 and want to get tested, call your state or local health department or a medical provider. Please note that while test supplies are increasing, it may be difficult to find a place to get tested.   [[Would you like to know the symptoms of COVID19?]] People may experience the following: cough, fever, tiredness, and difficulty breathing. These symptoms may appear 2-14 days after exposure to COVID19. If you develop any emergency warning signs - it is important to get medical attention immediately. These are: having trouble breathing, persistent pain or pressure in the chest, new confusion or inability to arouse, and/or bluish lips or face. You also may be at higher risk from COVID19 if you are over the age of 65, live in a nursing home or long-term care facility, or have other high-risk conditions (e.g. chronic lung disease, serious heart conditions, asthma, immunocomprimised, severe obesity, diabetes, etc.) ",,,,,,,,,,
What are the coronavirus symptoms,"Reported illnesses have ranged from mild symptoms to severe illness and death from confirmed COVID-19 cases. Confirmed means that these people were tested positive for COVID-19. These are the symptoms that can appear 2 to 14 days after exposure: fever, cough, shortness of breath, pneumonia in both lungs. Those who are infected with COVID-19 may also have little to no symptoms.   However, if you're experiencing difficulty breathing or shortness of breath, persistent pain or pressure in the chest, new confusion or inability to arouse, and/or bluish lips or face - please seek medical attention immediately. This is not an all inclusive list - if you are experiencing symptoms that are severe or concerning, talk to your medical provider.",,,,,,,,,,
how long does coronavirus survive on cardboard,"A recent study shows that the virus can live in the air and on surfaces from several hours to several days. On plastic, it can live for up to 72 hours (3 days). On stainless steel, it can live for up to 48 hours (2 days). On cardboard, it can live up to 24 hours (1 day). On copper, it can live up to four hours. It is detectable in the air for up to three hours. However, the amount of virus that remains is quite minimal - so the risk is still relatively low to contract COVID19 from these surfaces.  It is still important to regularly clean and disinfect high-touch surfaces as well as packages and mail that come through. Remember to wash your hands frequently with soap and water or an alcohol based hand sanitizer (60%). ",,,,,,,,,,
Covid?,"COVID-19 is a new coronavirus that we have not seen previously; it is not the same as the flu or common cold. Coronaviruses are types of viruses that cause illnesses. These include the common cold, flu, to more severe diseases like Middle East Respiratory Syndrom (MERs-CoV) and Severe Acute Respiratory Syndrome (SARS-CoV).   [[Would you like to know more about COVID-19 symptoms?]]",,,,,,,,,,
"If I make the decision for a school dismissal, what else should I consider?","In the event of a school dismissal, extracurricular group activities and large events, such as performances, field trips, and sporting events should also be cancelled. This may require close coordination with other partners and organizations (e.g., high school athletics associations, music associations). In addition, discourage students and staff from gathering or socializing anywhere, like at a friend's house, a favorite restaurant, or the local shopping mall.. . Ensure continuity of meal programs for your students. Consider ways to distribute food to students who receive free or reduced cost meals. Check with the US Department of Agriculture – Food and Nutrition Service for additional information: https://www.fns.usda.gov/disaster/USDAfoodsPandemicSchools.external icon If there is community spread of COVID-19, design strategies to avoid distribution in settings where people might gather in a group or crowd. Consider options such as “grab-and-go” bagged lunches or meal delivery.. . Consider alternatives for providing essential medical and social services for students. Continue providing necessary services for children with special healthcare needs, or work with the state Title V Children and Youth with Special Health Care Needs (CYSHCN) Program.","<p>In the event of a school dismissal, extracurricular group activities and large events, such as performances, field trips, and sporting events should also be cancelled. This may require close coordination with other partners and organizations (e.g., high school athletics associations, music associations). In addition, discourage students and staff from gathering or socializing anywhere, like at a friend&rsquo;s house, a favorite restaurant, or the local shopping mall.</p>. <p>Ensure continuity of meal programs for your students. Consider ways to distribute food to students who receive free or reduced cost meals. Check with the US Department of Agriculture &ndash; Food and Nutrition Service for additional information: <a href=""https://www.fns.usda.gov/disaster/USDAfoodsPandemicSchools"" class=""tp-link-policy"" data-domain-ext=""gov"">https://www.fns.usda.gov/disaster/USDAfoodsPandemicSchools.<span class=""sr-only"">external icon</span><span class=""fi cdc-icon-external x16 fill-external"" aria-hidden=""true""></span></a> If there is community spread of COVID-19, design strategies to avoid distribution in settings where people might gather in a group or crowd. Consider options such as &ldquo;grab-and-go&rdquo; bagged lunches or meal delivery.</p>. <p>Consider alternatives for providing essential medical and social services for students. Continue providing necessary services for children with special healthcare needs, or work with the state Title V Children and Youth with Special Health Care Needs (CYSHCN) Program.</p>",https://www.cdc.gov/coronavirus/2019-ncov/community/schools-childcare/schools-faq.html,K-12 Schools and Childcare Programs,Center for Disease Control and Prevention (CDC),School Dismissals,USA,,,en,3/17/20
How much longer will society need to socially isolate,"It depends, and is often decided on a case-by-case basis. The CDC guidance currently says it is okay to release someone from isolation if they have met the following requirements:  * The individual has no more fever without use of fever-reducing medications  * The individual no longer showing symptoms like the cough * The individual has tested negative on at least two tests that have been collected at least 24 hours apart",,,,,,,,,,
Define covid 18,"COVID-19 is a new coronavirus that we have not seen previously; it is not the same as the flu or common cold. Coronaviruses are types of viruses that cause illnesses. These include the common cold, flu, to more severe diseases like Middle East Respiratory Syndrom (MERs-CoV) and Severe Acute Respiratory Syndrome (SARS-CoV).   [[Would you like to know more about COVID-19 symptoms?]]",,,,,,,,,,
will the virus continue to spread for a long time,"They can, but it is not guaranteed; it depends on how the virus mutates over time.",,,,,,,,,,
how coronavirus will spread,"It is able to spread person-to-person. The spread can also be through respiratory droplets released when you sneeze, cough, or talk. Respiratory droplets may also be passed from person-to-person through commonly used surfaces such as door nobs, elevator buttons and bathroom faucets.  [[Would you like more information?]] Among viruses, some are more contagious than others; for example, measles is so contagious that if one person has it, 9 out of 10 people of ALL ages around them will also become infected if they are not protected. COVID-19 is able to spread easily in the community, which is called ""community spread"".   [[Would you like more information on how you can avoid getting infected with the virus that causes Covid19?]] Socially distancing is a practice that aims to prevent those who are sick from coming into contact with those who are healthy. This is to reduce the opportunity for disease transmission. It means avoiding crowds, mass gatherings, and maintaining at least a 6 foot distance fom others. This means no handshakes, hugs, or high-fives. It is also important to practice frequent hand-washing with soap and water or an alcohol-based (at least 60%) hand sanitizer.",,,,,,,,,,
how long can the coronavirus survive on surfaces,"A recent study shows that the virus can live in the air and on surfaces from several hours to several days. On plastic, it can live for up to 72 hours (3 days). On stainless steel, it can live for up to 48 hours (2 days). On cardboard, it can live up to 24 hours (1 day). On copper, it can live up to four hours. It is detectable in the air for up to three hours. However, the amount of virus that remains is quite minimal - so the risk is still relatively low to contract COVID19 from these surfaces.  It is still important to regularly clean and disinfect high-touch surfaces as well as packages and mail that come through. Remember to wash your hands frequently with soap and water or an alcohol based hand sanitizer (60%). ",,,,,,,,,,
symptoms of coronavirus chicago,"Reported illnesses have ranged from mild symptoms to severe illness and death from confirmed COVID-19 cases. Confirmed means that these people were tested positive for COVID-19. These are the symptoms that can appear 2 to 14 days after exposure: fever, cough, shortness of breath, pneumonia in both lungs. Those who are infected with COVID-19 may also have little to no symptoms.   However, if you're experiencing difficulty breathing or shortness of breath, persistent pain or pressure in the chest, new confusion or inability to arouse, and/or bluish lips or face - please seek medical attention immediately. This is not an all inclusive list - if you are experiencing symptoms that are severe or concerning, talk to your medical provider.",,,,,,,,,,
Should I practice social distancing,"Social distancing is one of the most effective ways to reduce the spread of illness during an outbreak, but it is sometimes hard to understand what this means given the vague language. What it means is to stay at home as much as possible, and limit your outside exposure. This does mean meaking changes to your everyday routine to minimize contacts with others, including:   avoiding non-essential gatherings avoiding common greetings, such as handshakes avoiding crowded places such as concerts, arenas, conferences and festivals limiting contact with people at higher risk like older adults and those in poor health keeping a distance of at least 2 arms-length (approximately 6 feet) from others  For example - if you need to go grocery shopping, limit to once a week. If you go on walks, make sure you maintain a 6 foot distance between yourself and others.",,,,,,,,,,
Can I get the virus from food,"Right now, our current understanding of how COVID-19 spreads is person-to-person through respiratory droplets. We have not seen anything related to spread through food. For the surfaces of frozen foods and other food product packaging - because of the poor survivalbility of the coronaviruses on these surfaces, it is a very low risk of spread. However, it is important to make sure you wash your hands with soap and water for at least 20 seconds to practice general food safety. Please also continue to wash your hands after blowing your nose, coughing or sneezing, or going to the bathroom.",,,,,,,,,,
How is the corona virus being spread,"It is able to spread person-to-person. The spread can also be through respiratory droplets released when you sneeze, cough, or talk. Respiratory droplets may also be passed from person-to-person through commonly used surfaces such as door nobs, elevator buttons and bathroom faucets.  [[Would you like more information?]] Among viruses, some are more contagious than others; for example, measles is so contagious that if one person has it, 9 out of 10 people of ALL ages around them will also become infected if they are not protected. COVID-19 is able to spread easily in the community, which is called ""community spread"".   [[Would you like more information on how you can avoid getting infected with the virus that causes Covid19?]] Socially distancing is a practice that aims to prevent those who are sick from coming into contact with those who are healthy. This is to reduce the opportunity for disease transmission. It means avoiding crowds, mass gatherings, and maintaining at least a 6 foot distance fom others. This means no handshakes, hugs, or high-fives. It is also important to practice frequent hand-washing with soap and water or an alcohol-based (at least 60%) hand sanitizer.",,,,,,,,,,
Can my cat get the virus,"While this virus did emerge from an animal source, it is only passing person-to-person currently. Currently, there is no evidence that shows a pet can become sick with COVID-19... but animals can spread disease to people, and people can spread disease to animals. So it is important to always wash your hands before and after interacting with animals.",,,,,,,,,,
"I have read that CV is able to be contracted through the air, how far can it go in the air?","COVID-19 is being spread through respiratory droplets that come from coughing or sneezing. If these droplets from an infected person reach another person through the nose, eyes, or mouth it can transmit the disease. It isn't airborne in the same way measles is, but it does linger in the air for some amount of time. However, we are still not sure how long it is in the air for, when the virus particles will rest on the ground or surrounding surfaces, and how it helps transmit to other people.",,,,,,,,,,
what is covid and corona,"COVID-19 is a new coronavirus that we have not seen previously; it is not the same as the flu or common cold. Coronaviruses are types of viruses that cause illnesses. These include the common cold, flu, to more severe diseases like Middle East Respiratory Syndrom (MERs-CoV) and Severe Acute Respiratory Syndrome (SARS-CoV).   [[Would you like to know more about COVID-19 symptoms?]]",,,,,,,,,,
corona virus spread from animals,"There is currently no evidence to suggest that this virus is circulating in animals in Canada.  It is possible that some types of animals can be infected with COVID-19 but there is no evidence that pets or other animals can spread the virus. There are still many unknowns about COVID-19 and this is an area that remains to be studied and understood.  Until we know more, if you have been diagnosed with COVID-19 and have a pet or other animal: avoid close contact with them, do not snuggle or kiss them, or let them lick you, sit on your lap, or sleep in your bed, practice good cough etiquette, avoid coughing and sneezing on your animals, have another member of your household care for your animals (if this is not possible, always wash your hands before touching or feeding them), and limit your animal's contact with other people and animals (this may mean keeping them indoors)  To date, there have not been any reports of livestock being infected by COVID-19 anywhere. However, livestock producers should follow normal biosecurity measures as always. This includes limiting visitors or workers who may have travelled to, or been in contact with, someone from an affected area.",,,,,,,,,,
Who is most likely to catch the virus,"Older adults (people over the age of 65), those who live in nursing homes or long term care facilities, people who have underlying medical conditions (e.g. chronic lung disease, asthma, diabetes, sickle cell anemia, weakened immune system, chemotherapy, liver cirrhosis, etc), pregnant people, and incarcerated populations.",,,,,,,,,,
Can you tell where I can get tested,"If you have the symptoms of COVID-19 and want to get tested, call your state or local health department or a medical provider. Please note that while test supplies are increasing, it may be difficult to find a place to get tested.   [[Would you like to know the symptoms of COVID19?]] People may experience the following: cough, fever, tiredness, and difficulty breathing. These symptoms may appear 2-14 days after exposure to COVID19. If you develop any emergency warning signs - it is important to get medical attention immediately. These are: having trouble breathing, persistent pain or pressure in the chest, new confusion or inability to arouse, and/or bluish lips or face. You also may be at higher risk from COVID19 if you are over the age of 65, live in a nursing home or long-term care facility, or have other high-risk conditions (e.g. chronic lung disease, serious heart conditions, asthma, immunocomprimised, severe obesity, diabetes, etc.) ",,,,,,,,,,
how coronavirus symptoms start,"Reported illnesses have ranged from mild symptoms to severe illness and death from confirmed COVID-19 cases. Confirmed means that these people were tested positive for COVID-19. These are the symptoms that can appear 2 to 14 days after exposure: fever, cough, shortness of breath, pneumonia in both lungs. Those who are infected with COVID-19 may also have little to no symptoms.   However, if you're experiencing difficulty breathing or shortness of breath, persistent pain or pressure in the chest, new confusion or inability to arouse, and/or bluish lips or face - please seek medical attention immediately. This is not an all inclusive list - if you are experiencing symptoms that are severe or concerning, talk to your medical provider.",,,,,,,,,,
what is coronavirus phase 3,"Coronavirus are a type of virus - there are many kinds, and some of them can cause disease. Examples of coronaviruses include the common cold, flu, to more severe diseases like Middle East Respiratory Syndrome (MERS-CoV) and Severe Acute Respiratory Syndrome (SARS-CoV).   COVID19 is a novel coronavirus that has been recently identified.   [[Would you like more information on COVID19?]] [[Would you like to know the symptoms of COVID19?]]    ",,,,,,,,,,
What about pregnant women?,"There is limited scientific evidence on the severity of illness in pregnant women after COVID-19 infection. That said, current evidence suggests that severity of illness among pregnant women after COVID-19 infection is similar to that in non-pregnant adult COVID-19 cases, and there is no data that suggests infection with COVID-19 during pregnancy has a negative effect on the foetus. At present, there is no evidence of transmission of COVID-19 from mother to baby occurring during pregnancy. ECDC will continue to monitor the emerging scientific literature on this question, and suggests that all pregnant women follow the same precautions for the prevention of COVID-19, including regular handwashing, avoiding individuals who are sick, and self-isolating in case of any symptoms, while consulting a healthcare provider by telephone for advice.","There is limited scientific evidence on the severity of illness in pregnant women after COVID-19 infection. That said, current evidence suggests that severity of illness among pregnant women after COVID-19 infection is similar to that in non-pregnant adult COVID-19 cases, and there is no data that suggests infection with COVID-19 during pregnancy has a negative effect on the foetus. At present, there is no evidence of transmission of COVID-19 from mother to baby occurring during pregnancy. ECDC will continue to monitor the emerging scientific literature on this question, and suggests that all pregnant women follow the same precautions for the prevention of COVID-19, including regular handwashing, avoiding individuals who are sick, and self-isolating in case of any symptoms, while consulting a healthcare provider by telephone for advice.",https://www.ecdc.europa.eu/en/novel-coronavirus-china/questions-answers,Q & A on COVID-27,European Centre for Disease Prevention and Control (ECDC),Medical information,EU,,,en,3/18/20
symptoms of coronavirus in newborns,"The most common symptoms are fever, tiredness and dry cough. Some people exprience nasal congestion, aches and pains, runny nose, sore throat, and diarrhea. Most symptoms usually begin mild and slowly. Some people don't even show symptoms despite being infected with COVID19, and generally continue to feel well.",,,,,,,,,,
Is water a possible source of infection in the transmission of SARS-CoV-2?,"SARS-CoV-2 is similar to other coronaviruses for which water does not constitute a relevant route of transmission. The direct transmission of coronaviruses via the stools of infected persons also appears negligible; to date, no case of a faecal-oral transmission of the virus has been reported.. . The German Environment Agency has published a detailed statement on coronavirus and drinking water.. ","<p>SARS-CoV-2 is similar to other coronaviruses <span  lang=""en"" xml:lang=""en"" data-toggle=""popover""  tabindex=""0"" class=""glossaryentry"" title="""">for</span> which water does not constitute a relevant route <span  lang=""en"" xml:lang=""en"" data-toggle=""popover""  tabindex=""0"" class=""glossaryentry"" title="""">of</span> transmission. The direct transmission <span  lang=""en"" xml:lang=""en"" data-toggle=""popover""  tabindex=""0"" class=""glossaryentry"" title="""">of</span> coronaviruses via <span  lang=""en"" xml:lang=""en"" data-toggle=""popover""  tabindex=""0"" class=""glossaryentry"" title="""">the</span> stools <span  lang=""en"" xml:lang=""en"" data-toggle=""popover""  tabindex=""0"" class=""glossaryentry"" title="""">of</span> infected persons also appears negligible; to date, no case <span  lang=""en"" xml:lang=""en"" data-toggle=""popover""  tabindex=""0"" class=""glossaryentry"" title="""">of</span> a faecal-oral transmission <span  lang=""en"" xml:lang=""en"" data-toggle=""popover""  tabindex=""0"" class=""glossaryentry"" title="""">of</span> <span  lang=""en"" xml:lang=""en"" data-toggle=""popover""  tabindex=""0"" class=""glossaryentry"" title="""">the</span> virus has been reported.. </p>. <p>The German Environment Agency has published a detailed statement on coronavirus and drinking water.</p>",https://www.bundesgesundheitsministerium.de/en/press/2020/coronavirus.html,Frequently asked questions,Bundesministerium für Gesundheit,,Germany,,,en,3/18/20
Will social distancing slow the spread of covid 19,"Social distancing is one of the most effective ways to reduce the spread of illness during an outbreak, but it is sometimes hard to understand what this means given the vague language. What it means is to stay at home as much as possible, and limit your outside exposure. This does mean meaking changes to your everyday routine to minimize contacts with others, including:   avoiding non-essential gatherings avoiding common greetings, such as handshakes avoiding crowded places such as concerts, arenas, conferences and festivals limiting contact with people at higher risk like older adults and those in poor health keeping a distance of at least 2 arms-length (approximately 6 feet) from others  For example - if you need to go grocery shopping, limit to once a week. If you go on walks, make sure you maintain a 6 foot distance between yourself and others.",,,,,,,,,,
What are symptoms of Covid 19,"Reported illnesses have ranged from mild symptoms to severe illness and death from confirmed COVID-19 cases. Confirmed means that these people were tested positive for COVID-19. These are the symptoms that can appear 2 to 14 days after exposure: fever, cough, shortness of breath, pneumonia in both lungs. Those who are infected with COVID-19 may also have little to no symptoms.   However, if you're experiencing difficulty breathing or shortness of breath, persistent pain or pressure in the chest, new confusion or inability to arouse, and/or bluish lips or face - please seek medical attention immediately. This is not an all inclusive list - if you are experiencing symptoms that are severe or concerning, talk to your medical provider.",,,,,,,,,,
how long does the coronavirus live on surfaces,"A recent study shows that the virus can live in the air and on surfaces from several hours to several days. On plastic, it can live for up to 72 hours (3 days). On stainless steel, it can live for up to 48 hours (2 days). On cardboard, it can live up to 24 hours (1 day). On copper, it can live up to four hours. It is detectable in the air for up to three hours. However, the amount of virus that remains is quite minimal - so the risk is still relatively low to contract COVID19 from these surfaces.  It is still important to regularly clean and disinfect high-touch surfaces as well as packages and mail that come through. Remember to wash your hands frequently with soap and water or an alcohol based hand sanitizer (60%). ",,,,,,,,,,
how long does the coronavirus stay on mail,"The risk is quite low for one to become infected with COVID19 through mail/packages - especially because it takes time for mail to be sent (over a period of a few days or weeks). However, it is still recommended practice to wash hands with soap and water or with an alcohol (at least 60%) based hand sanitizer. For packages, open and discard of them outside of the home if possible, and wash hands thoroughly.",,,,,,,,,,
what is coronavirus video,"COVID-19 is a new coronavirus that we have not seen previously; it is not the same as the flu or common cold. Coronaviruses are types of viruses that cause illnesses. These include the common cold, flu, to more severe diseases like Middle East Respiratory Syndrom (MERs-CoV) and Severe Acute Respiratory Syndrome (SARS-CoV).   [[Would you like to know more about COVID-19 symptoms?]]",,,,,,,,,,
What are the symptoms for corona virus?,"Reported illnesses have ranged from mild symptoms to severe illness and death from confirmed COVID-19 cases. Confirmed means that these people were tested positive for COVID-19. These are the symptoms that can appear 2 to 14 days after exposure: fever, cough, shortness of breath, pneumonia in both lungs. Those who are infected with COVID-19 may also have little to no symptoms.   However, if you're experiencing difficulty breathing or shortness of breath, persistent pain or pressure in the chest, new confusion or inability to arouse, and/or bluish lips or face - please seek medical attention immediately. This is not an all inclusive list - if you are experiencing symptoms that are severe or concerning, talk to your medical provider.",,,,,,,,,,
what is the coronavirus virus,"COVID-19 is a new coronavirus that we have not seen previously; it is not the same as the flu or common cold. Coronaviruses are types of viruses that cause illnesses. These include the common cold, flu, to more severe diseases like Middle East Respiratory Syndrom (MERs-CoV) and Severe Acute Respiratory Syndrome (SARS-CoV).   [[Would you like to know more about COVID-19 symptoms?]]",,,,,,,,,,
symptoms of coronavirus vs flu,"The most common symptoms are fever, tiredness and dry cough. Some people exprience nasal congestion, aches and pains, runny nose, sore throat, and diarrhea. Most symptoms usually begin mild and slowly. Some people don't even show symptoms despite being infected with COVID19, and generally continue to feel well.",,,,,,,,,,
Are there confirmed cases in my neighborhood ,This interactive map by the Johns Hopkins University provides updated information by country about the number of confirmed Covid19 cases and deaths: https://coronavirus.jhu.edu/map.html.,,,,,,,,,,
what is corona virus and how it started,"Coronavirus are a type of virus - there are many kinds, and some of them can cause disease. Examples of coronaviruses include the common cold, flu, to more severe diseases like Middle East Respiratory Syndrome (MERS-CoV) and Severe Acute Respiratory Syndrome (SARS-CoV).   COVID19 is a novel coronavirus that has been recently identified.   [[Would you like more information on COVID19?]] [[Would you like to know the symptoms of COVID19?]]    ",,,,,,,,,,
Should the general population wear masks to protect themselves from COVID-19?,"If you are a healthy individual, the use of a mask is not recommended for preventing the spread of COVID-19.  Wearing a mask when you are not ill may give a false sense of security. There is a potential risk of infection with improper mask use and disposal. They also need to be changed frequently.  However, your health care provider may recommend you wear a mask if you are experiencing symptoms of COVID-19 while you are seeking or waiting for care. In this instance, masks are an appropriate part of infection prevention and control measures. The mask acts as a barrier and helps stop the tiny droplets from spreading you when you cough or sneeze.",,,,,,,,,,
what us a coronavirus,"Coronavirus are a type of virus - there are many kinds, and some of them can cause disease. Examples of coronaviruses include the common cold, flu, to more severe diseases like Middle East Respiratory Syndrome (MERS-CoV) and Severe Acute Respiratory Syndrome (SARS-CoV).   COVID19 is a novel coronavirus that has been recently identified.   [[Would you like more information on COVID19?]] [[Would you like to know the symptoms of COVID19?]]    ",,,,,,,,,,
how did coronavirus born,"It was first found in Wuhan City, Hubei Province, China. The first cases are linked to a live animal market but now COVID-19 is able to spread person-to-person.",,,,,,,,,,
coronavirus are caused by,"There are many types of coronaviruses. Some only cause illness in people, and some only infect animals. COVID-19 is likely due to an animal coronavirus being able to infect and spread among people. In the past, there was Middle East Respiratory Syndrom (MERS) and Severe Acute Respiratory (SARS) which are both coronaviruses that came from animals and spread among people.   [[Would you like more information on MERs?]] MERs is Middle East Respiratory Syndrome. It is also caused by coronavirus, similar to COVID-19. This virus was first reported in 2012 in Saudi Arabia. Their symptoms are severe acute respiratory illness which includes fever, cough, and shortness of breath. The virus does not pass easily person-to-person unless there is close contact, which includes providing unprotected care to a patient.  [[Would you like more information?]] SARS is Severe Acute Respiratory Syndrome. It was identified in 2003. It is thought to be an animal virus, though the animal source has not yet been identified. It transmits person-to-person, and has influenza-like symptoms, which include fever, malaise, headaches, diarrhea, and shivering. Currently, SARS-CoV is not being transmitted anywhere in the world. Since the 2003 epidemic, it has appeared four times due to laboratory accidents.",,,,,,,,,,
what are the symptoms?,"Reported illnesses have ranged from mild symptoms to severe illness and death from confirmed COVID-19 cases. Confirmed means that these people were tested positive for COVID-19. These are the symptoms that can appear 2 to 14 days after exposure: fever, cough, shortness of breath, pneumonia in both lungs. Those who are infected with COVID-19 may also have little to no symptoms.   However, if you're experiencing difficulty breathing or shortness of breath, persistent pain or pressure in the chest, new confusion or inability to arouse, and/or bluish lips or face - please seek medical attention immediately. This is not an all inclusive list - if you are experiencing symptoms that are severe or concerning, talk to your medical provider.",,,,,,,,,,
can corona be transmitted through air,"COVID-19 is being spread through respiratory droplets that come from coughing or sneezing. If these droplets from an infected person reach another person through the nose, eyes, or mouth it can transmit the disease. It isn't airborne in the same way measles is, but it does linger in the air for some amount of time. However, we are still not sure how long it is in the air for, when the virus particles will rest on the ground or surrounding surfaces, and how it helps transmit to other people.",,,,,,,,,,
what is coronavirus symptoms,"Reported illnesses have ranged from mild symptoms to severe illness and death from confirmed COVID-19 cases. Confirmed means that these people were tested positive for COVID-19. These are the symptoms that can appear 2 to 14 days after exposure: fever, cough, shortness of breath, pneumonia in both lungs. Those who are infected with COVID-19 may also have little to no symptoms.   However, if you're experiencing difficulty breathing or shortness of breath, persistent pain or pressure in the chest, new confusion or inability to arouse, and/or bluish lips or face - please seek medical attention immediately. This is not an all inclusive list - if you are experiencing symptoms that are severe or concerning, talk to your medical provider.",,,,,,,,,,
how long does the coronavirus live on a surface,"A recent study shows that the virus can live in the air and on surfaces from several hours to several days. On plastic, it can live for up to 72 hours (3 days). On stainless steel, it can live for up to 48 hours (2 days). On cardboard, it can live up to 24 hours (1 day). On copper, it can live up to four hours. It is detectable in the air for up to three hours. However, the amount of virus that remains is quite minimal - so the risk is still relatively low to contract COVID19 from these surfaces.  It is still important to regularly clean and disinfect high-touch surfaces as well as packages and mail that come through. Remember to wash your hands frequently with soap and water or an alcohol based hand sanitizer (60%). ",,,,,,,,,,
Can the Covid survive in the air?,"COVID-19 is being spread through respiratory droplets that come from coughing or sneezing. If these droplets from an infected person reach another person through the nose, eyes, or mouth it can transmit the disease. It isn't airborne in the same way measles is, but it does linger in the air for some amount of time. However, we are still not sure how long it is in the air for, when the virus particles will rest on the ground or surrounding surfaces, and how it helps transmit to other people.",,,,,,,,,,
where can i get tested?,"If you have the symptoms of COVID-19 and want to get tested, call your state or local health department or a medical provider. Please note that while test supplies are increasing, it may be difficult to find a place to get tested.   [[Would you like to know the symptoms of COVID19?]] People may experience the following: cough, fever, tiredness, and difficulty breathing. These symptoms may appear 2-14 days after exposure to COVID19. If you develop any emergency warning signs - it is important to get medical attention immediately. These are: having trouble breathing, persistent pain or pressure in the chest, new confusion or inability to arouse, and/or bluish lips or face. You also may be at higher risk from COVID19 if you are over the age of 65, live in a nursing home or long-term care facility, or have other high-risk conditions (e.g. chronic lung disease, serious heart conditions, asthma, immunocomprimised, severe obesity, diabetes, etc.) ",,,,,,,,,,
what is the corona virus mean,"Coronavirus are a type of virus - there are many kinds, and some of them can cause disease. Examples of coronaviruses include the common cold, flu, to more severe diseases like Middle East Respiratory Syndrome (MERS-CoV) and Severe Acute Respiratory Syndrome (SARS-CoV).   COVID19 is a novel coronavirus that has been recently identified.   [[Would you like more information on COVID19?]] [[Would you like to know the symptoms of COVID19?]]    ",,,,,,,,,,
Should I wear a mask?,"Masks are only helpful in preventing people who have coronavirus (COVID19) from spreading it to others. If the person is healthy, there is likely no need for them to wear a face mask - as there is little evidence showing that these masks used by healthy people will prevent transmission to public.   If the person is coughing, sneezing, and exhibiting other symptoms of COVID-19, wearing a mask can be recommended. It is also recommended for those who are caring for someone who has or is suspected to have COVID-19. However, masks are only really effective if it is used in combination with frequent hand-washing with soap and water, or with an alcohol-based sanitizer.",,,,,,,,,,
what treatments are available for covid-19?,"Most people with mild coronavirus illness will recover on their own. If you are concerend about your symptoms, you should self-monitor and consult your health care provider. They may recommend steps you can take to relieve symptoms. At this time, there is no vaccine for COVID-19 that is authorized to treat or protect against COVID-19. If you have received a flu vaccine, it will not protect against coronaviruses",,,,,,,,,,
symptoms of coronavirus from day 1,"Reported illnesses have ranged from mild symptoms to severe illness and death from confirmed COVID-19 cases. Confirmed means that these people were tested positive for COVID-19. These are the symptoms that can appear 2 to 14 days after exposure: fever, cough, shortness of breath, pneumonia in both lungs. Those who are infected with COVID-19 may also have little to no symptoms.   However, if you're experiencing difficulty breathing or shortness of breath, persistent pain or pressure in the chest, new confusion or inability to arouse, and/or bluish lips or face - please seek medical attention immediately. This is not an all inclusive list - if you are experiencing symptoms that are severe or concerning, talk to your medical provider.",,,,,,,,,,
can coronavirus live on packages,"The risk is quite low for one to become infected with COVID19 through mail/packages - especially because it takes time for mail to be sent (over a period of a few days or weeks). However, it is still recommended practice to wash hands with soap and water or with an alcohol (at least 60%) based hand sanitizer. For packages, open and discard of them outside of the home if possible, and wash hands thoroughly.",,,,,,,,,,
Can CoVID-19 be caught from a person who has no symptoms?,"The main way the disease spreads is through respiratory droplets expelled by someone who is coughing. The risk of catching COVID-19 from someone with no symptoms at all is very low. However, many people with COVID-19 experience only mild symptoms. This is particularly true at the early stages of the disease. It is therefore possible to catch COVID-19 from someone who has, for example, just a mild cough and does not feel ill.  WHO is assessing ongoing research on the period of transmission of COVID-19 and will continue to share updated findings.    ","<p>The main way the disease spreads is through respiratory droplets expelled by someone who is coughing. The risk of catching COVID-19 from someone with no symptoms at all is very low. However, many people with COVID-19 experience only mild symptoms. This is particularly true at the early stages of the disease. It is therefore possible to catch COVID-19 from someone who has, for example, just a mild cough and does not feel ill.&nbsp; WHO is assessing ongoing research on the period of transmission of COVID-19 and will continue to share updated findings.&nbsp;&nbsp;&nbsp;&nbsp;</p>",https://www.who.int/news-room/q-a-detail/q-a-coronaviruses,Q&A on coronaviruses (COVID-19),World Health Organization (WHO),,,,,en,3/17/20
Am I at risk of contracting COVID-19 infection in the EU?,This outbreak is evolving rapidly and the risk assessment is changing accordingly. ECDC is continuously assessing the risk for EU citizens and you can find the latest information in the daily updated ECDC risk assessment.,<p>This outbreak is evolving rapidly and the risk assessment is changing accordingly. ECDC is continuously assessing the risk for EU citizens and you can find the latest information in the daily updated ECDC risk assessment.</p>,https://www.ecdc.europa.eu/en/novel-coronavirus-china/questions-answers,Q & A on COVID-37,European Centre for Disease Prevention and Control (ECDC),Current Situation in the EU,EU,,,en,3/18/20
